"symbol","type","database"
"BMP10","secreted protein","NABA"
"BMP10","cytokin/chemokine_&_receptors","GSEA"
"BMP15","cytokin/chemokine_&_receptors","Online resource"
"BMP15","growth_factors_&_receptors","Online resource"
"BMP15","predicted secreted protein","HPA"
"BMP15","growth_factors_&_receptors","GOMF"
"BMP15","secreted protein","NABA"
"BMP15","cytokin/chemokine_&_receptors","GSEA"
"BMP2","cytokin/chemokine_&_receptors","Online resource"
"BMP2","growth_factors_&_receptors","Online resource"
"BMP2","predicted secreted protein","HPA"
"BMP2","predicted secreted protein","VerSeDa"
"BMP2","growth_factors_&_receptors","GOMF"
"BMP2","cytokin/chemokine_&_receptors","KEGG"
"BMP2","secreted protein","NABA"
"BMP2","cytokin/chemokine_&_receptors","GSEA"
"BMP3","cytokin/chemokine_&_receptors","Online resource"
"BMP3","growth_factors_&_receptors","Online resource"
"BMP3","predicted secreted protein","HPA"
"BMP3","predicted secreted protein","VerSeDa"
"BMP3","growth_factors_&_receptors","GOMF"
"BMP3","secreted protein","NABA"
"BMP3","cytokin/chemokine_&_receptors","GSEA"
"BMP4","cytokin/chemokine_&_receptors","Online resource"
"BMP4","growth_factors_&_receptors","Online resource"
"BMP4","predicted secreted protein","HPA"
"BMP4","predicted secreted protein","VerSeDa"
"BMP4","growth_factors_&_receptors","GOMF"
"BMP4","secreted protein","NABA"
"BMP4","cytokin/chemokine_&_receptors","GSEA"
"BMP5","cytokin/chemokine_&_receptors","Online resource"
"BMP5","growth_factors_&_receptors","Online resource"
"BMP5","predicted secreted protein","HPA"
"BMP5","growth_factors_&_receptors","GOMF"
"BMP5","secreted protein","NABA"
"BMP5","cytokin/chemokine_&_receptors","GSEA"
"BMP6","cytokin/chemokine_&_receptors","Online resource"
"BMP6","growth_factors_&_receptors","Online resource"
"BMP6","predicted secreted protein","HPA"
"BMP6","growth_factors_&_receptors","GOMF"
"BMP6","secreted protein","NABA"
"BMP6","cytokin/chemokine_&_receptors","GSEA"
"BMP7","cytokin/chemokine_&_receptors","Online resource"
"BMP7","growth_factors_&_receptors","Online resource"
"BMP7","predicted secreted protein","HPA"
"BMP7","growth_factors_&_receptors","GOMF"
"BMP7","cytokin/chemokine_&_receptors","KEGG"
"BMP7","secreted protein","NABA"
"BMP7","cytokin/chemokine_&_receptors","GSEA"
"BMP8A","cytokin/chemokine_&_receptors","Online resource"
"BMP8A","growth_factors_&_receptors","Online resource"
"BMP8A","predicted secreted protein","HPA"
"BMP8A","growth_factors_&_receptors","GOMF"
"BMP8A","secreted protein","NABA"
"BMP8A","cytokin/chemokine_&_receptors","GSEA"
"BMP8B","cytokin/chemokine_&_receptors","Online resource"
"BMP8B","growth_factors_&_receptors","Online resource"
"BMP8B","predicted secreted protein","HPA"
"BMP8B","growth_factors_&_receptors","GOMF"
"BMP8B","secreted protein","NABA"
"BMP8B","cytokin/chemokine_&_receptors","GSEA"
"BMPER","predicted secreted protein","HPA"
"BMPR1A","cytokin/chemokine_&_receptors","Online resource"
"BMPR1A","cytokin/chemokine_&_receptors","KEGG"
"BMPR1B","cytokin/chemokine_&_receptors","Online resource"
"BMPR1B","cytokin/chemokine_&_receptors","KEGG"
"BMPR2","cytokin/chemokine_&_receptors","Online resource"
"BMPR2","cytokin/chemokine_&_receptors","KEGG"
"BOLA3","predicted secreted protein","VerSeDa"
"BPI","predicted secreted protein","HPA"
"BPIFA1","predicted secreted protein","HPA"
"BPIFA2","predicted secreted protein","HPA"
"BPIFA3","predicted secreted protein","HPA"
"BPIFB1","predicted secreted protein","HPA"
"BPIFB2","predicted secreted protein","HPA"
"BPIFB2","predicted secreted protein","VerSeDa"
"BPIFB3","predicted secreted protein","HPA"
"BPIFB4","predicted secreted protein","HPA"
"BPIFB6","predicted secreted protein","HPA"
"BPIFC","predicted secreted protein","HPA"
"BRAF","cytokin/chemokine_&_receptors","WP"
"BRINP2","predicted secreted protein","HPA"
"BRINP2","secreted protein","NABA"
"BRINP3","predicted secreted protein","HPA"
"BRINP3","secreted protein","NABA"
"BSPH1","predicted secreted protein","HPA"
"BTBD17","predicted secreted protein","HPA"
"BTC","growth_factors_&_receptors","Online resource"
"BTC","secreted protein","NABA"
"BTC","cytokin/chemokine_&_receptors","GSEA"
"BTD","predicted secreted protein","HPA"
"C10orf95","predicted secreted protein","HPA"
"C10orf99","predicted secreted protein","HPA"
"C11orf45","predicted secreted protein","HPA"
"C11orf94","predicted secreted protein","HPA"
"C12orf73","predicted secreted protein","VerSeDa"
"C14orf93","predicted secreted protein","HPA"
"C14orf93","predicted secreted protein","VerSeDa"
"C15orf61","predicted secreted protein","HPA"
"C15orf61","predicted secreted protein","VerSeDa"
"C16orf89","predicted secreted protein","HPA"
"C16orf89","predicted secreted protein","VerSeDa"
"C17orf67","predicted secreted protein","HPA"
"C17orf67","predicted secreted protein","VerSeDa"
"C17orf99","predicted secreted protein","HPA"
"C18orf54","predicted secreted protein","HPA"
"C1orf54","predicted secreted protein","HPA"
"C1orf54","predicted secreted protein","VerSeDa"
"C1orf56","predicted secreted protein","HPA"
